,code,time_key,close
0,SH.600125,2019-08-05 10:00:00,6.21
1,SH.600125,2019-08-05 10:30:00,6.23
2,SH.600125,2019-08-05 11:00:00,6.23
3,SH.600125,2019-08-05 11:30:00,6.19
4,SH.600125,2019-08-05 13:30:00,6.19
5,SH.600125,2019-08-05 14:00:00,6.18
6,SH.600125,2019-08-05 14:30:00,6.17
7,SH.600125,2019-08-05 15:00:00,6.17
8,SH.600125,2019-08-06 10:00:00,6.06
9,SH.600125,2019-08-06 10:30:00,5.88
10,SH.600125,2019-08-06 11:00:00,5.88
11,SH.600125,2019-08-06 11:30:00,5.91
12,SH.600125,2019-08-06 13:30:00,5.97
13,SH.600125,2019-08-06 14:00:00,5.97
14,SH.600125,2019-08-06 14:30:00,5.94
15,SH.600125,2019-08-06 15:00:00,5.92
16,SH.600125,2019-08-07 10:00:00,5.94
17,SH.600125,2019-08-07 10:30:00,5.92
18,SH.600125,2019-08-07 11:00:00,5.9
19,SH.600125,2019-08-07 11:30:00,5.92
20,SH.600125,2019-08-07 13:30:00,5.92
21,SH.600125,2019-08-07 14:00:00,5.92
22,SH.600125,2019-08-07 14:30:00,5.92
23,SH.600125,2019-08-07 15:00:00,5.9
24,SH.600125,2019-08-08 10:00:00,5.95
25,SH.600125,2019-08-08 10:30:00,5.92
26,SH.600125,2019-08-08 11:00:00,5.91
27,SH.600125,2019-08-08 11:30:00,5.93
28,SH.600125,2019-08-08 13:30:00,5.92
29,SH.600125,2019-08-08 14:00:00,5.94
30,SH.600125,2019-08-08 14:30:00,5.93
31,SH.600125,2019-08-08 15:00:00,5.92
32,SH.600125,2019-08-09 10:00:00,5.98
33,SH.600125,2019-08-09 10:30:00,5.96
34,SH.600125,2019-08-09 11:00:00,5.94
35,SH.600125,2019-08-09 11:30:00,5.92
36,SH.600125,2019-08-09 13:30:00,5.93
37,SH.600125,2019-08-09 14:00:00,5.94
38,SH.600125,2019-08-09 14:30:00,5.94
39,SH.600125,2019-08-09 15:00:00,5.93
40,SH.600125,2019-08-12 10:00:00,5.95
41,SH.600125,2019-08-12 10:30:00,5.97
42,SH.600125,2019-08-12 11:00:00,5.95
43,SH.600125,2019-08-12 11:30:00,5.94
44,SH.600125,2019-08-12 13:30:00,5.93
45,SH.600125,2019-08-12 14:00:00,5.95
46,SH.600125,2019-08-12 14:30:00,5.95
47,SH.600125,2019-08-12 15:00:00,6.01
48,SH.600125,2019-08-13 10:00:00,5.94
49,SH.600125,2019-08-13 10:30:00,5.95
50,SH.600125,2019-08-13 11:00:00,5.93
51,SH.600125,2019-08-13 11:30:00,5.93
52,SH.600125,2019-08-13 13:30:00,5.93
53,SH.600125,2019-08-13 14:00:00,5.93
54,SH.600125,2019-08-13 14:30:00,5.95
55,SH.600125,2019-08-13 15:00:00,5.94
56,SH.600125,2019-08-14 10:00:00,5.99
57,SH.600125,2019-08-14 10:30:00,5.98
58,SH.600125,2019-08-14 11:00:00,5.97
59,SH.600125,2019-08-14 11:30:00,5.97
60,SH.600125,2019-08-14 13:30:00,5.96
61,SH.600125,2019-08-14 14:00:00,5.97
62,SH.600125,2019-08-14 14:30:00,5.94
63,SH.600125,2019-08-14 15:00:00,5.93
64,SH.600125,2019-08-15 10:00:00,5.81
65,SH.600125,2019-08-15 10:30:00,5.84
66,SH.600125,2019-08-15 11:00:00,5.86
67,SH.600125,2019-08-15 11:30:00,5.85
68,SH.600125,2019-08-15 13:30:00,5.86
69,SH.600125,2019-08-15 14:00:00,5.86
70,SH.600125,2019-08-15 14:30:00,5.89
71,SH.600125,2019-08-15 15:00:00,5.89
72,SH.600125,2019-08-16 10:00:00,5.9
73,SH.600125,2019-08-16 10:30:00,5.91
74,SH.600125,2019-08-16 11:00:00,5.92
75,SH.600125,2019-08-16 11:30:00,5.92
76,SH.600125,2019-08-16 13:30:00,5.92
77,SH.600125,2019-08-16 14:00:00,5.94
78,SH.600125,2019-08-16 14:30:00,5.9
79,SH.600125,2019-08-16 15:00:00,5.9
80,SH.600125,2019-08-19 10:00:00,5.94
81,SH.600125,2019-08-19 10:30:00,5.96
82,SH.600125,2019-08-19 11:00:00,5.98
83,SH.600125,2019-08-19 11:30:00,6.0
84,SH.600125,2019-08-19 13:30:00,6.01
85,SH.600125,2019-08-19 14:00:00,6.02
86,SH.600125,2019-08-19 14:30:00,6.04
87,SH.600125,2019-08-19 15:00:00,6.04
88,SH.600125,2019-08-20 10:00:00,6.06
89,SH.600125,2019-08-20 10:30:00,6.05
90,SH.600125,2019-08-20 11:00:00,6.05
91,SH.600125,2019-08-20 11:30:00,6.03
92,SH.600125,2019-08-20 13:30:00,6.04
93,SH.600125,2019-08-20 14:00:00,6.04
94,SH.600125,2019-08-20 14:30:00,6.02
95,SH.600125,2019-08-20 15:00:00,6.01
96,SH.600125,2019-08-21 10:00:00,6.03
97,SH.600125,2019-08-21 10:30:00,6.01
98,SH.600125,2019-08-21 11:00:00,6.01
99,SH.600125,2019-08-21 11:30:00,6.01
100,SH.600125,2019-08-21 13:30:00,6.01
101,SH.600125,2019-08-21 14:00:00,6.03
102,SH.600125,2019-08-21 14:30:00,6.05
103,SH.600125,2019-08-21 15:00:00,6.05
104,SH.600125,2019-08-22 10:00:00,6.03
105,SH.600125,2019-08-22 10:30:00,6.03
106,SH.600125,2019-08-22 11:00:00,6.04
107,SH.600125,2019-08-22 11:30:00,6.03
108,SH.600125,2019-08-22 13:30:00,6.03
109,SH.600125,2019-08-22 14:00:00,6.02
110,SH.600125,2019-08-22 14:30:00,6.02
111,SH.600125,2019-08-22 15:00:00,6.05
112,SH.600125,2019-08-23 10:00:00,6.06
113,SH.600125,2019-08-23 10:30:00,6.03
114,SH.600125,2019-08-23 11:00:00,6.05
115,SH.600125,2019-08-23 11:30:00,6.04
116,SH.600125,2019-08-23 13:30:00,6.02
117,SH.600125,2019-08-23 14:00:00,6.0
118,SH.600125,2019-08-23 14:30:00,6.01
119,SH.600125,2019-08-23 15:00:00,6.0
