,code,time_key,close,diff,macd_bar,ma5,ma10,em_bar
0,SH.600125,2019-08-05 10:30:00,6.23,0.0,0.0,6.23,6.23,0.0
1,SH.600125,2019-08-05 11:30:00,6.19,-0.0031908831908831203,-0.005105413105412992,6.210000000000001,6.210000000000001,0.0
2,SH.600125,2019-08-05 14:00:00,6.18,-0.006452220355354754,-0.009302469947485008,6.2,6.2,0.0
3,SH.600125,2019-08-05 15:00:00,6.17,-0.009731590266489398,-0.012688967815803438,6.192500000000001,6.192500000000001,0.0
4,SH.600125,2019-08-06 10:30:00,5.88,-0.03532389899724642,-0.05109886822185398,6.1049999999999995,6.130000000000001,-0.03
5,SH.600125,2019-08-06 11:30:00,5.91,-0.05257913918234447,-0.06848747887364007,6.035,6.093333333333334,-0.06
6,SH.600125,2019-08-06 14:00:00,5.97,-0.060712684749787194,-0.06780365600682041,5.9825,6.075714285714286,-0.09
7,SH.600125,2019-08-06 15:00:00,5.92,-0.07038184227698885,-0.06971357684897897,5.92,6.05625,-0.14
8,SH.600125,2019-08-07 10:30:00,5.92,-0.07715532076950371,-0.06660842706720696,5.93,6.041111111111111,-0.11
9,SH.600125,2019-08-07 11:30:00,5.92,-0.0815829142235307,-0.06037089118020875,5.932500000000001,6.006666666666667,-0.07
10,SH.600125,2019-08-07 14:00:00,5.92,-0.08412210665362618,-0.05235942083231977,5.92,5.9766666666666675,-0.06
11,SH.600125,2019-08-07 15:00:00,5.9,-0.0867482875415524,-0.04608942608653774,5.914999999999999,5.945555555555555,-0.03
12,SH.600125,2019-08-08 10:30:00,5.92,-0.08622181060141809,-0.0360291777650153,5.915000000000001,5.917777777777778,-0.0
13,SH.600125,2019-08-08 11:30:00,5.93,-0.08402902313434524,-0.025314882264695665,5.9175,5.923333333333333,-0.01
14,SH.600125,2019-08-08 14:00:00,5.94,-0.08055571075262957,-0.014694606001011468,5.9225,5.926666666666667,-0.0
