,code,time_key,close,diff,macd_bar,ma5,ma10,em_bar
0,SZ.002405,2019-08-02 10:00:00,14.48,0.0,0.0,14.48,14.48,0.0
1,SZ.002405,2019-08-02 10:30:00,14.57,0.007179487179488575,0.01148717948718172,14.525,14.525,0.0
2,SZ.002405,2019-08-02 11:00:00,14.61,0.015913507195561394,0.023164175615461885,14.553333333333333,14.553333333333333,0.0
3,SZ.002405,2019-08-02 11:30:00,14.44,0.009013796299941035,0.007491803059376936,14.524999999999999,14.524999999999999,0.0
4,SZ.002405,2019-08-02 13:30:00,14.37,-0.002078727009161341,-0.011754594847062252,14.497499999999999,14.494,0.0
5,SZ.002405,2019-08-02 14:00:00,14.5,-0.0003753908324295452,-0.006678337994878929,14.479999999999999,14.495,-0.02
6,SZ.002405,2019-08-02 14:30:00,14.55,0.004952013759965013,0.00318117695192815,14.465,14.502857142857142,-0.04
7,SZ.002405,2019-08-02 15:00:00,14.51,0.005878589850764726,0.004027463306822061,14.4825,14.50375,-0.02
8,SZ.002405,2019-08-05 10:00:00,14.75,0.02568284644782004,0.034908781200746156,14.5775,14.53111111111111,0.05
9,SZ.002405,2019-08-05 10:30:00,15.12,0.07042198940622058,0.09950965369403778,14.7325,14.60222222222222,0.13
10,SZ.002405,2019-08-05 11:00:00,15.04,0.09828972831202165,0.12419610520451194,14.854999999999999,14.654444444444444,0.2
11,SZ.002405,2019-08-05 11:30:00,14.91,0.10863294565061388,0.11590603190535712,14.954999999999998,14.687777777777777,0.27
12,SZ.002405,2019-08-05 13:30:00,14.8,0.10672369489708089,0.08967002431863291,14.967499999999998,14.72777777777778,0.24
13,SZ.002405,2019-08-05 14:00:00,14.78,0.10241617712839357,0.06484399102500663,14.8825,14.773333333333333,0.11
14,SZ.002405,2019-08-05 14:30:00,14.72,0.09308788056171835,0.03694991831332495,14.8025,14.797777777777778,0.0
15,SZ.002405,2019-08-05 15:00:00,14.65,0.07913450996889004,0.007234541702134667,14.737499999999999,14.80888888888889,-0.07
16,SZ.002405,2019-08-06 10:00:00,14.36,0.044166661100220495,-0.05016092482816353,14.6275,14.792222222222222,-0.16
17,SZ.002405,2019-08-06 10:30:00,13.92,-0.018832840561557873,-0.14092794252137622,14.412500000000001,14.699999999999998,-0.29
18,SZ.002405,2019-08-06 11:00:00,13.92,-0.06797680521894556,-0.19137269746892127,14.2125,14.566666666666666,-0.35
19,SZ.002405,2019-08-06 11:30:00,13.92,-0.10570524698506034,-0.21346366480092066,14.030000000000001,14.44222222222222,-0.41
