,date,close,high,open,low,diff,macd_bar,ma5,ma10,ma20
0,2019-01-02 10:00:00,7.01,7.07,7.05,7.0,0.0,0.0,7.01,7.01,7.01
1,2019-01-02 11:00:00,7.04,7.05,7.01,7.0,0.002393162393161674,0.0038290598290586786,7.025,7.025,7.025
2,2019-01-02 12:00:00,7.01,7.04,7.04,6.99,0.0018477122750608643,0.002190527674285647,7.0200000000000005,7.0200000000000005,7.0200000000000005
3,2019-01-02 14:00:00,6.98,7.02,7.01,6.96,-0.0009938536268698783,-0.0027940833036606706,7.010000000000001,7.010000000000001,7.010000000000001
4,2019-01-02 15:00:00,6.93,7.01,6.98,6.91,-0.0071974297195298576,-0.012160988391184503,6.99,6.994,6.994
5,2019-01-03 10:00:00,7.01,7.03,6.91,6.91,-0.005593992986207219,-0.007163291939631381,6.9825,6.996666666666666,6.996666666666666
6,2019-01-03 11:00:00,6.97,7.07,7.01,6.97,-0.007464873118375515,-0.008724041763174378,6.9725,6.992857142857142,6.992857142857142
7,2019-01-03 12:00:00,6.97,6.99,6.97,6.95,-0.008845592616587794,-0.00918838460767915,6.97,6.99,6.99
8,2019-01-03 14:00:00,7.03,7.04,6.98,6.96,-0.005040223646622266,-0.0012621173341984745,6.995,6.9944444444444445,6.9944444444444445
9,2019-01-03 15:00:00,6.96,7.03,7.02,6.95,-0.007585416349393803,-0.00508200219179324,6.9825,6.988888888888889,6.991
10,2019-01-04 10:00:00,6.95,6.98,6.9,6.88,-0.010290790502854641,-0.008394200398971933,6.9775,6.978888888888889,6.987272727272727
11,2019-01-04 11:00:00,7.01,7.02,6.95,6.93,-0.007506786885163486,-0.002260954530871698,6.987500000000001,6.978888888888888,6.989166666666667
12,2019-01-04 12:00:00,7.07,7.08,7.02,7.0,-0.00045371525437953864,0.009476150984556956,6.9975000000000005,6.988888888888889,6.995384615384615
13,2019-01-04 14:00:00,7.05,7.09,7.08,7.04,0.0034819245162287515,0.01387794442061883,7.0200000000000005,7.002222222222222,6.999285714285714
