,date,close,high,open,low,diff,dem,bar,ema5,ema10,ema20
0,2019-01-02 10:00:00,7.01,7.07,7.05,7.0,0.0,0.0,0.0,7.01,7.01,7.01
1,2019-01-02 11:00:00,7.04,7.05,7.01,7.0,0.002393162393161674,0.0004786324786323348,0.0038290598290586786,7.02,7.015454545454546,7.012857142857143
2,2019-01-02 12:00:00,7.01,7.04,7.04,6.99,0.0018477122750608643,0.0007524484379180408,0.002190527674285647,7.016666666666666,7.014462809917355,7.012585034013607
3,2019-01-02 14:00:00,6.98,7.02,7.01,6.96,-0.0009938536268698783,0.00040318802496045695,-0.0027940833036606706,7.004444444444444,7.008196844477836,7.009481697440883
4,2019-01-02 15:00:00,6.93,7.01,6.98,6.91,-0.0071974297195298576,-0.0011169355239376059,-0.012160988391184503,6.97962962962963,6.993979236390957,7.0019120119703215
5,2019-01-03 10:00:00,7.01,7.03,6.91,6.91,-0.005593992986207219,-0.0020123470163915286,-0.007163291939631381,6.9897530864197535,6.996892102501692,7.002682296544577
6,2019-01-03 11:00:00,6.97,7.07,7.01,6.97,-0.007464873118375515,-0.0031028522367883256,-0.008724041763174378,6.983168724279835,6.9920026293195665,6.999569696873666
7,2019-01-03 12:00:00,6.97,6.99,6.97,6.95,-0.008845592616587794,-0.0042514003127482195,-0.00918838460767915,6.97877914951989,6.988002151261464,6.99675353526665
8,2019-01-03 14:00:00,7.03,7.04,6.98,6.96,-0.005040223646622266,-0.004409164979523029,-0.0012621173341984745,6.9958527663465935,6.995638123759378,6.999919865241255
9,2019-01-03 15:00:00,6.96,7.03,7.02,6.95,-0.007585416349393803,-0.005044415253497183,-0.00508200219179324,6.983901844231062,6.989158464894036,6.996117973313515
10,2019-01-04 10:00:00,6.95,6.98,6.9,6.88,-0.010290790502854641,-0.0060936903033686745,-0.008394200398971933,6.972601229487375,6.982038744004211,6.991725785378895
11,2019-01-04 11:00:00,7.01,7.02,6.95,6.93,-0.007506786885163486,-0.0063763096197276365,-0.002260954530871698,6.985067486324916,6.9871226087307186,6.993466186771382
12,2019-01-04 12:00:00,7.07,7.08,7.02,7.0,-0.00045371525437953864,-0.005191790746658017,0.009476150984556956,7.01337832421661,7.0021912253251335,7.000755121364583
13,2019-01-04 14:00:00,7.05,7.09,7.08,7.04,0.0034819245162287515,-0.003457047694080663,0.01387794442061883,7.02558554947774,7.010883729811473,7.005445109806051
14,2019-01-04 15:00:00,7.07,7.08,7.04,7.03,0.008121164512959744,-0.0011414052526725817,0.018525139531264653,7.040390366318493,7.021632142573023,7.0115931945864265
15,2019-01-07 10:00:00,7.2,7.21,7.12,7.08,0.022033718191162066,0.003493619436094348,0.037080197510135436,7.093593577545662,7.054062662105201,7.029536699863909
16,2019-01-07 11:00:00,7.2,7.23,7.2,7.16,0.03268277058073732,0.009331449665022942,0.046702641831428755,7.1290623850304415,7.080596723540619,7.045771299876871
17,2019-01-07 12:00:00,7.2,7.21,7.2,7.17,0.04065359201894392,0.015595878135807137,0.05011542776627356,7.152708256686961,7.102306410169598,7.060459747507646
18,2019-01-07 14:00:00,7.17,7.2,7.2,7.14,0.0440420863990898,0.021285119788463668,0.04551393322125226,7.15847217112464,7.114614335593307,7.070892152506918
19,2019-01-07 15:00:00,7.18,7.19,7.17,7.13,0.04699270636758879,0.02642663710428869,0.04113213852660019,7.165648114083093,7.126502638212705,7.081283376077687
20,2019-01-08 10:00:00,7.2,7.2,7.15,7.13,0.05036435783729587,0.03121418125089013,0.03830035317281148,7.1770987427220625,7.139865794901305,7.0925897212131455
21,2019-01-08 11:00:00,7.15,7.21,7.2,7.15,0.04844340832966054,0.03466002666664421,0.027566763326032667,7.1680658284813745,7.141708377646522,7.098057366811894
